"_id","updated_at","environment","time","layername","mission","product"
"ObjectID(""6940235a520d96b5a7873b15"")",2025-12-15 16:03:25.386,OPE,2025-12-14 16:09:00,copernicus:daily_sentinel3ab_olci_l1_rgb_fulres,copernicus,daily_sentinel3ab_olci_l1_rgb_fulres
"ObjectID(""6940235a520d96b5a7873b16"")",2025-12-15 16:03:25.386,OPE,2025-12-14 16:48:00,copernicus:daily_sentinel3ab_olci_l1_rgb_fulres,copernicus,daily_sentinel3ab_olci_l1_rgb_fulres
"ObjectID(""6940235a520d96b5a7873b17"")",2025-12-15 16:03:25.386,OPE,2025-12-14 17:50:00,copernicus:daily_sentinel3ab_olci_l1_rgb_fulres,copernicus,daily_sentinel3ab_olci_l1_rgb_fulres
"ObjectID(""6940235a520d96b5a7873b18"")",2025-12-15 16:03:25.386,OPE,2025-12-14 18:29:00,copernicus:daily_sentinel3ab_olci_l1_rgb_fulres,copernicus,daily_sentinel3ab_olci_l1_rgb_fulres
"ObjectID(""6940235a520d96b5a7873b19"")",2025-12-15 16:03:25.386,OPE,2025-12-14 19:31:00,copernicus:daily_sentinel3ab_olci_l1_rgb_fulres,copernicus,daily_sentinel3ab_olci_l1_rgb_fulres
"ObjectID(""6940235a520d96b5a7873b1a"")",2025-12-15 16:03:25.386,OPE,2025-12-14 20:10:00,copernicus:daily_sentinel3ab_olci_l1_rgb_fulres,copernicus,daily_sentinel3ab_olci_l1_rgb_fulres
"ObjectID(""6940235a520d96b5a7873b1b"")",2025-12-15 16:03:25.386,OPE,2025-12-14 21:12:00,copernicus:daily_sentinel3ab_olci_l1_rgb_fulres,copernicus,daily_sentinel3ab_olci_l1_rgb_fulres
"ObjectID(""6940235a520d96b5a7873b1c"")",2025-12-15 16:03:25.386,OPE,2025-12-14 21:51:00,copernicus:daily_sentinel3ab_olci_l1_rgb_fulres,copernicus,daily_sentinel3ab_olci_l1_rgb_fulres
"ObjectID(""6940235a520d96b5a7873b1d"")",2025-12-15 16:03:25.386,OPE,2025-12-14 22:53:00,copernicus:daily_sentinel3ab_olci_l1_rgb_fulres,copernicus,daily_sentinel3ab_olci_l1_rgb_fulres
"ObjectID(""6940235a520d96b5a7873b1e"")",2025-12-15 16:03:25.386,OPE,2025-12-14 23:32:00,copernicus:daily_sentinel3ab_olci_l1_rgb_fulres,copernicus,daily_sentinel3ab_olci_l1_rgb_fulres
